2025-11-13 15:43:40,186 | INFO | 🖥️ Using device: cuda
2025-11-13 15:43:40,186 | INFO | 🚀 Starting RAG pipeline
2025-11-13 15:43:40,346 | ERROR | LLM error: 'response'
2025-11-13 15:43:41,563 | ERROR | LLM error: 'response'
2025-11-13 15:43:42,844 | ERROR | LLM error: 'response'
2025-11-13 15:43:44,095 | ERROR | LLM error: 'response'
2025-11-13 15:43:45,271 | ERROR | LLM error: 'response'
2025-11-13 15:43:46,554 | ERROR | LLM error: 'response'
2025-11-13 15:43:47,716 | ERROR | LLM error: 'response'
2025-11-13 15:43:48,888 | ERROR | LLM error: 'response'
2025-11-13 15:43:50,079 | ERROR | LLM error: 'response'
2025-11-13 15:43:51,268 | ERROR | LLM error: 'response'
2025-11-13 15:43:52,439 | ERROR | LLM error: 'response'
2025-11-13 15:43:53,597 | ERROR | LLM error: 'response'
2025-11-13 15:43:54,892 | ERROR | LLM error: 'response'
2025-11-13 15:43:56,145 | ERROR | LLM error: 'response'
2025-11-13 15:43:57,322 | ERROR | LLM error: 'response'
2025-11-13 15:43:58,507 | ERROR | LLM error: 'response'
2025-11-13 15:43:59,689 | ERROR | LLM error: 'response'
2025-11-13 15:44:00,874 | ERROR | LLM error: 'response'
2025-11-13 15:44:02,039 | ERROR | LLM error: 'response'
2025-11-13 15:44:03,203 | ERROR | LLM error: 'response'
2025-11-13 15:44:04,363 | ERROR | LLM error: 'response'
2025-11-13 15:44:05,555 | ERROR | LLM error: 'response'
2025-11-13 15:44:06,741 | ERROR | LLM error: 'response'
2025-11-13 15:44:07,867 | ERROR | LLM error: 'response'
2025-11-13 15:44:09,245 | ERROR | LLM error: 'response'
2025-11-13 15:44:10,438 | ERROR | LLM error: 'response'
2025-11-13 15:44:11,562 | ERROR | LLM error: 'response'
2025-11-13 15:44:12,753 | ERROR | LLM error: 'response'
2025-11-13 15:44:13,871 | ERROR | LLM error: 'response'
2025-11-13 15:44:15,067 | ERROR | LLM error: 'response'
2025-11-13 15:44:17,482 | ERROR | LLM error: 'response'
2025-11-13 15:44:18,654 | ERROR | LLM error: 'response'
2025-11-13 15:44:19,858 | ERROR | LLM error: 'response'
2025-11-13 15:44:21,132 | ERROR | LLM error: 'response'
2025-11-13 15:44:22,297 | ERROR | LLM error: 'response'
2025-11-13 15:44:23,522 | ERROR | LLM error: 'response'
2025-11-13 15:44:24,789 | ERROR | LLM error: 'response'
2025-11-13 15:44:25,989 | ERROR | LLM error: 'response'
2025-11-13 15:44:27,097 | ERROR | LLM error: 'response'
2025-11-13 15:44:28,289 | ERROR | LLM error: 'response'
2025-11-13 15:44:29,486 | ERROR | LLM error: 'response'
2025-11-13 15:44:30,762 | ERROR | LLM error: 'response'
2025-11-13 15:44:31,903 | ERROR | LLM error: 'response'
2025-11-13 15:44:33,078 | ERROR | LLM error: 'response'
2025-11-13 15:44:34,240 | ERROR | LLM error: 'response'
2025-11-13 15:44:35,413 | ERROR | LLM error: 'response'
2025-11-13 15:44:36,618 | ERROR | LLM error: 'response'
2025-11-13 15:44:37,796 | ERROR | LLM error: 'response'
2025-11-13 15:44:38,970 | ERROR | LLM error: 'response'
2025-11-13 15:44:40,228 | ERROR | LLM error: 'response'
2025-11-13 15:44:41,516 | ERROR | LLM error: 'response'
2025-11-13 15:44:42,704 | ERROR | LLM error: 'response'
2025-11-13 15:44:43,843 | ERROR | LLM error: 'response'
2025-11-13 15:44:44,996 | ERROR | LLM error: 'response'
2025-11-13 15:44:46,255 | ERROR | LLM error: 'response'
2025-11-13 15:44:47,775 | ERROR | LLM error: 'response'
2025-11-13 15:44:48,936 | ERROR | LLM error: 'response'
2025-11-13 15:44:50,184 | ERROR | LLM error: 'response'
2025-11-13 15:44:51,338 | ERROR | LLM error: 'response'
2025-11-13 15:44:52,512 | ERROR | LLM error: 'response'
2025-11-13 15:44:53,682 | ERROR | LLM error: 'response'
2025-11-13 15:44:54,846 | ERROR | LLM error: 'response'
2025-11-13 15:44:56,006 | ERROR | LLM error: 'response'
2025-11-13 15:44:58,595 | ERROR | LLM error: 'response'
2025-11-13 15:44:59,775 | ERROR | LLM error: 'response'
2025-11-13 15:45:00,931 | ERROR | LLM error: 'response'
2025-11-13 15:45:02,106 | ERROR | LLM error: 'response'
2025-11-13 15:45:03,291 | ERROR | LLM error: 'response'
2025-11-13 15:45:04,467 | ERROR | LLM error: 'response'
2025-11-13 15:45:05,633 | ERROR | LLM error: 'response'
2025-11-13 15:45:06,793 | ERROR | LLM error: 'response'
2025-11-13 15:45:07,951 | ERROR | LLM error: 'response'
