2025-10-19 14:47:03,123 | INFO | 🖥️ Using device: cpu
2025-10-19 14:47:03,123 | INFO | 🚀 Starting RAG pipeline
2025-10-19 14:47:03,576 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11aa167b0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:04,821 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11aaa0cd0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:06,032 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11aaa16d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:07,827 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11ab15220>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:09,062 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11ab148a0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:10,526 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11b02be30>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:11,744 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfcd10>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:12,956 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfc8d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:14,158 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfc5a0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:15,621 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfc5a0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:16,833 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfc5a0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:18,059 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfc5a0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:19,287 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfc5a0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-10-19 14:47:20,495 | ERROR | LLM error: HTTPConnectionPool(host='localhost', port=11434): Max retries exceeded with url: /api/generate (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x11abfcd10>: Failed to establish a new connection: [Errno 61] Connection refused'))
